instance_name,Deterministic Greedy,Genetic,Local Search Best Improvement,Local Search First Improvement,Non Deterministc Greedy,Simulated Annealing
gr202,619.3953489999999,656.1159010000002,624.8263690000003,590.6391919999995,983.245517,516.5605020000202
gr229,2014.710624,2199.760839,2132.696108,2930.309856999998,3633.886086,1717.0806030002182
gr431,2516.2472,3003.1263530000024,3092.102161000001,3348.001028999999,3985.497152000001,2074.70538300023
gr666,4110.899869,5480.394717000002,5195.384998,6297.792437999999,6111.671298999999,3406.328834000544
gr96,707.08999,611.9917959999999,577.3719699999998,542.9967869999994,1027.064317,525.2018890000137
kroA100,26856.388591000003,26530.277356,22021.400411,23243.65995499996,45645.38581499999,22050.957989999974
kroA150,33609.866975000004,33853.04924799998,29745.085929,30123.880233,53858.296011,28655.54332900004
kroA200,35798.408975000006,46714.75017200001,33822.48052499999,45095.52571800001,62805.85399499998,30885.49668799997
kroB100,29155.043701000013,29836.150694000004,23879.466545999992,24166.63783100004,40315.46245099999,23569.65532099997
kroB150,32825.74988800001,32402.498979000004,28690.134368000003,31245.451447,50607.321379,28400.56547300001
kroB200,36981.59013899998,40344.02782199999,37448.386310000016,37698.58605299999,61664.092875,31788.972014999992
kroC100,26327.362109999984,26369.283677,22259.370805,22268.18782000001,41755.489121999984,22285.88252500001
kroD100,26950.461227000003,25204.98705200001,22678.12821800002,23222.69065900002,43626.786989,23217.57447000004
kroE100,27587.187458000008,28978.287472000007,23636.426225000007,24229.248126000013,47589.98023699998,24024.90422599995
lin105,20362.757416000008,18490.758468000004,15373.649981,14956.639880999986,35390.98410500001,15610.12349799999
lin318,54033.57677100003,67417.64231399994,69760.49781199993,78808.73713500008,92561.29940099998,47291.3415370002
nrw1379,70015.45714000001,101780.53377900002,103591.1876729999,107911.61201299996,110274.29687899984,64831.35756400029
p654,43411.55930399998,56459.54947599989,63638.72704199993,69976.05238099987,80264.03867499986,38326.8589900001
pcb1173,70277.94147300007,109609.494218,114280.85402299996,116287.73276899988,118393.33409699996,66213.98356300028
pcb442,61984.04725200001,86114.11906999999,94861.01317999998,95315.81001600005,110158.28601299998,56681.86660199995
pr1002,315596.58740300033,478628.2586610004,505440.273688,527369.5574910009,546098.7447810003,297832.5387540005
pr107,46678.154146,48053.859105,49877.71946399998,45429.04804599997,101582.41119399996,48201.498576999984
pr124,69299.425219,74566.457882,62837.25288000002,59949.16668900004,147808.339244,60942.80668100005
pr136,120777.85960700002,117662.95614200004,104707.82141799986,104703.90292900002,205214.76044800007,109167.07905899997
pr144,61650.71980099999,83034.11478600002,61906.620447,61229.10362399999,135481.765228,66215.725261
pr152,85702.95365699989,89066.46960899992,75961.18969599997,82863.61109799973,181475.77680799985,78871.52497199972
pr226,94685.454196,97612.561009,117993.8803870001,142310.46731600005,190219.02290399995,81796.54680300006
pr2392,461207.4898340018,769935.4713700018,820442.5235830011,800578.5989340009,819640.1880450017,453646.0864840002
pr264,58022.85684099999,72544.24489600002,78524.59129599998,79748.99445299995,102040.45950399994,54408.485397999815
pr299,59899.009679,82077.81705399994,68748.64973999998,89157.64821800005,105160.353435,53084.578793999855
pr439,131282.09211200004,168867.24910799996,192690.32811400012,239197.5328879999,241737.6115310001,117566.8806199997
pr76,153461.9225,136153.21056100004,110328.82880800003,110782.78507500017,240678.254871,111131.62858500004
rat195,2761.9573759999976,3519.271639999999,3043.465256000001,3575.3464449999983,4774.223775999998,2537.8570330000325
rat575,8449.318352000004,11888.34833999999,11651.25897800001,12011.790182999996,12904.329817,7667.664278000306
rat783,11255.07028200001,15933.274636000004,16647.795173999988,16859.635845999997,17503.511719000013,10014.458852000016
rat99,1564.7248599999994,1596.1170409999995,1315.3274729999996,1278.6214420000006,2592.492632,1285.5796630000143
rd100,9941.164140000004,10219.94752,8510.117195000004,8474.582331000009,14520.291666999998,8299.835367000014
rd400,19168.051522,26748.32626199997,21665.246605000026,28033.704104000008,30392.492740999976,16520.351481000172
rl1304,339797.4719750002,589007.8130139998,622608.8609279993,604543.1798430001,663623.788411,306788.98345900123
rl1323,332094.96967600007,623916.0395509998,634724.1348539998,643493.0775029995,683798.9685799996,316889.68740199844
rl1889,400684.6384460002,711420.2687679989,729779.2295659985,782513.2950460007,781572.0612279988,374184.3168840013
st70,805.5312030000001,843.9001049999999,695.0150240000002,765.0421190000003,1414.4692739999998,683.8301719999856
ts225,152493.550789,214258.612752,172584.7240749999,218665.9354529997,288902.366335,135589.0670530001
tsp225,4828.996683000002,5967.391834999999,4750.809655999999,5492.567559000004,7855.987044999999,4202.531846000125
u1060,305781.47799099924,426500.31697699975,444547.60928499966,453513.7347190003,482520.3016849994,252005.3358589998
u1432,188815.0103120001,272240.1081730006,267815.01641700085,289810.32424900087,286296.90529600065,171648.9780599997
u159,54669.026415,61142.02250300001,48993.129743,57820.883952000186,96696.573957,45710.600161
u1817,71406.16529800068,117913.73100800096,130143.93361000095,129133.23011300073,130344.34171500104,72502.27120200283
u2152,79340.10780800095,134603.09175300147,137638.995820001,140764.329544001,143692.19968400136,82267.83947800074
u2319,278783.3073410003,372888.2759380013,373182.9097540009,380959.0559290016,391380.0191460014,252114.2230500002
u574,46881.86653199999,63505.51780700004,71139.72691300003,75693.75596000005,82107.2448240001,41219.23030099991
u724,55716.71957100006,75381.82226400005,78294.04074799998,83441.3056590002,87608.89639700005,46916.029282
ulysses16.tsp,104.734947,76.177075,74.826968,74.19894500000001,101.907958,73.99982800000015
ulysses22.tsp,89.640798,78.207624,76.89292900000001,76.256293,143.625078,75.7948210000001
vm1084,301469.22759300016,490590.6710020001,509949.36386200006,527524.0394429998,549128.296428,277019.94205000007
vm1748,408089.1942009998,698230.421852,703323.4847340003,718387.4982100008,723388.3260120001,395953.4325000011
